date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2021-04-18,217,336,121669,2065647,2
2021-04-19,253,335,122004,2065647,2
2021-04-20,273,321,122325,2065647,2
2021-04-21,311,315,122640,2065647,2
2021-04-22,315,298,122938,2065647,2
2021-04-23,229,278,123216,2065647,2
2021-04-24,341,277,123493,2065647,2
2021-04-25,198,274,123767,2065647,2
2021-04-26,244,273,124040,2065647,2
2021-04-27,292,276,124316,2065647,2
2021-04-28,311,276,124592,2065647,2
2021-04-29,343,280,124872,2065647,2
2021-04-30,323,293,125165,2065647,2
2021-05-01,262,282,125447,2065647,2
2021-05-02,210,284,125731,2065647,2
2021-05-03,224,281,126012,2065647,2
2021-05-04,238,273,126285,2065647,2
2021-05-05,199,257,126542,2065647,2
2021-05-06,259,245,126787,2065647,2
2021-05-07,279,239,127026,2065647,2
2021-05-08,212,232,127258,2065647,2
2021-05-09,196,230,127488,2065647,2
2021-05-10,189,225,127713,2065647,2
2021-05-11,261,228,127941,2065647,2
2021-05-12,261,237,128178,2065647,2
2021-05-13,291,241,128419,2065647,2
2021-05-14,243,236,128655,2065647,2
2021-05-15,206,235,128890,2065647,2
2021-05-16,185,234,129124,2065647,2
2021-05-17,191,234,129358,2065647,2
2021-05-18,206,226,129584,2065647,2
2021-05-19,263,226,129810,2065647,2
2021-05-20,247,220,130030,2065647,2
2021-05-21,197,214,130244,2065647,2
2021-05-22,181,210,130454,2065647,2
2021-05-23,114,200,130654,2065647,2
2021-05-24,155,195,130849,2065647,2
2021-05-25,164,189,131038,2065647,2
2021-05-26,154,173,131211,2065647,2
2021-05-27,147,159,131370,2065647,2
2021-05-28,142,151,131521,2065647,2
2021-05-29,83,137,131658,2065647,2
2021-05-30,80,132,131790,2065647,2
2021-05-31,83,122,131912,2065647,2
2021-06-01,107,114,132026,2065647,2
2021-06-02,99,106,132132,2065647,2
2021-06-03,84,97,132229,2065647,2
2021-06-04,87,89,132318,2065647,2
2021-06-05,73,88,132406,2065647,2
2021-06-06,49,83,132489,2065647,2
2021-06-07,60,80,132569,2065647,2
2021-06-08,56,73,132642,2065647,2
2021-06-09,42,64,132706,2065647,2
2021-06-10,64,62,132768,2065647,2
2021-06-11,67,59,132827,2065647,2
2021-06-12,51,56,132883,2065647,2
2021-06-13,35,54,132937,2065647,2
2021-06-14,36,50,132987,2065647,2
2021-06-15,62,51,133038,2065647,2
2021-06-16,45,51,133089,2065647,2
2021-06-17,57,50,133139,2065647,2
2021-06-18,50,48,133187,2065647,2
2021-06-19,24,44,133231,2065647,2
2021-06-20,27,43,133274,2065647,2
2021-06-21,28,42,133316,2065647,2
2021-06-22,46,40,133356,2065647,2
2021-06-23,28,37,133393,2065647,2
2021-06-24,27,33,133426,2065647,2
2021-06-25,35,31,133457,2065647,2
2021-06-26,35,32,133489,2065647,2
2021-06-27,13,30,133519,2065647,2
2021-06-28,38,32,133551,2065647,2
2021-06-29,40,31,133582,2065647,2
2021-06-30,26,31,133613,2065647,2
2021-07-01,25,30,133643,2065647,3
2021-07-02,26,29,133672,2065647,3
2021-07-03,23,27,133699,2065647,3
2021-07-04,12,27,133726,2065647,3
2021-07-05,22,25,133751,2065647,3
2021-07-06,30,23,133774,2065647,3
2021-07-07,29,24,133798,2065647,3
2021-07-08,33,25,133823,2065647,3
2021-07-09,25,25,133848,2065647,3
2021-07-10,18,24,133872,2065647,3
2021-07-11,20,25,133897,2065647,3
2021-07-12,27,26,133923,2065647,3
2021-07-13,31,26,133949,2065647,3
2021-07-14,32,27,133976,2065647,3
2021-07-15,40,28,134004,2065647,3
2021-07-16,30,28,134032,2065647,3
2021-07-17,32,30,134062,2065647,3
2021-07-18,35,32,134094,2065647,3
2021-07-19,28,33,134127,2065647,3
2021-07-20,54,36,134163,2065647,3
2021-07-21,53,39,134202,2065647,3
2021-07-22,49,40,134242,2065647,3
2021-07-23,46,42,134284,2065647,3
2021-07-24,33,43,134327,2065647,3
